provider,case,condition,language,utterance,expected,first_turn_predicted,final_predicted,turns_to_confirmation,error,final_tp,final_fp,final_fn,final_precision,final_recall,final_f1,final_exact_match,first_turn_tp,first_turn_fp,first_turn_fn,first_turn_precision,first_turn_recall,first_turn_f1,first_turn_exact_match
lexicon_only,colloquial_dense_instructions,colloquial,en,Keep directions in small chunks; long paragraphs make me lose track.,"[""needs_memory_support"", ""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
lexicon_only,multi_limited_vision_stairs_reminders,multi_domain,en,"My vision is limited, stairs are difficult, and I need short reminders.","[""blind_or_low_vision"", ""needs_memory_support"", ""needs_step_free_route""]","[""needs_memory_support""]","[""needs_memory_support""]",1,,1,0,2,1.0,0.333,0.5,False,1,0,2,1.0,0.333,0.5,False
lexicon_only,multi_signing_audio_ramps,multi_domain,en,"I rely on signing, miss audio announcements, and need ramps.","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""sign_language_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
lexicon_only,multi_bad_knees_eyes_text,multi_domain,en,"Bad knees, poor eyesight, and long instructions are hard for me.","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_step_free_route""]",2,,2,0,1,1.0,0.667,0.8,False,2,0,1,1.0,0.667,0.8,False
lexicon_only,multi_wheelchair_long_text,multi_domain,en,"I use a wheelchair and need step-free routes. I also have trouble reading long texts, so please keep instructions short.","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
lexicon_only,multi_wheelchair_audio_memory,multi_domain,en,"I use a wheelchair, cannot hear announcements, and forget complex directions.","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,1,1.0,0.75,0.857,False,3,0,1,1.0,0.75,0.857,False
lexicon_only,zh_vision_stairs_simple,multilingual,zh,我看不清，也不想走楼梯，请用简单一点的话。,"[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,2,1.0,0.333,0.5,False,1,0,2,1.0,0.333,0.5,False
lexicon_only,zh_wheelchair_hearing,multilingual,zh,我坐轮椅，听不见广播。,"[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
lexicon_only,de_vision_stairs,multilingual,de,Ich sehe schlecht und Treppen sind schwierig.,"[""blind_or_low_vision"", ""needs_step_free_route""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,1,1.0,0.5,0.667,False,1,0,1,1.0,0.5,0.667,False
lexicon_only,de_sign_simple,multilingual,de,Ich nutze Gebaerdensprache und brauche kurze einfache Hinweise.,"[""deaf_or_hard_of_hearing"", ""needs_simple_language"", ""sign_language_user""]",[],"[""needs_simple_language""]",3,,1,0,2,1.0,0.333,0.5,False,0,0,3,0.0,0.0,0.0,False
lexicon_only,contrastive_sign_language_learning,contrastive,en,"I am learning sign language, but I hear fine; I only need simple English.","[""needs_simple_language""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language"", ""sign_language_user""]",2,,1,2,0,0.333,1.0,0.5,False,1,2,0,0.333,1.0,0.5,False
lexicon_only,contrastive_caregiver_wheelchair,contrastive,en,"I push a wheelchair for my parent, but I personally only need short reminders.","[""needs_memory_support""]","[""needs_memory_support"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_memory_support"", ""needs_step_free_route"", ""wheelchair_user""]",1,,1,2,0,0.333,1.0,0.5,False,1,2,0,0.333,1.0,0.5,False
lexicon_only,contrastive_phone_audio_knee,contrastive,en,"My phone cannot hear announcements, but I need ramps because of knee pain.","[""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route""]",3,,1,1,0,0.5,1.0,0.667,False,1,1,0,0.5,1.0,0.667,False
lexicon_only,contrastive_not_blind_stepfree,contrastive,en,"I am not blind, but I need step-free routes.","[""needs_step_free_route""]","[""needs_step_free_route""]","[""needs_step_free_route""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
lexicon_only,contrastive_long_paragraphs,contrastive,en,"Please avoid long paragraphs, but no memory issues.","[""needs_simple_language""]","[""needs_simple_language""]","[""needs_simple_language""]",1,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
lexicon_only,contrastive_device_no_maps,contrastive,en,"My phone cannot handle complex map views, but I navigate well on foot.",[],[],[],2,,0,0,0,1.0,1.0,1.0,True,0,0,0,1.0,1.0,1.0,True
lexicon_only,contrastive_caregiver_wheelchair_parent,contrastive,en,I push my father's wheelchair at weekends; I only need simple English reminders for myself.,"[""needs_memory_support"", ""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",1,,2,2,0,0.5,1.0,0.667,False,2,2,0,0.5,1.0,0.667,False
lexicon_only,contrastive_learning_braille_stepfree,contrastive,en,I study Braille for professional training; I can see fine and just need a step-free route.,"[""needs_step_free_route""]","[""needs_step_free_route""]","[""needs_step_free_route""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
lexicon_only,multi_hearing_memory_stairs,multi_domain,en,"I have hearing loss, I forget directions easily, and I cannot climb stairs.","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route""]",3,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
lexicon_only,multi_low_vision_sign_prefer,multi_domain,en,My vision is limited and I prefer signing to written text.,"[""blind_or_low_vision"", ""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]",1,,2,0,1,1.0,0.667,0.8,False,2,0,1,1.0,0.667,0.8,False
lexicon_only,multi_wheelchair_poor_eyesight_simple,multi_domain,en,"I use a wheelchair, have poor eyesight, and need simple language.","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",2,,4,0,0,1.0,1.0,1.0,True,4,0,0,1.0,1.0,1.0,True
lexicon_only,de_wheelchair_simple_language,multilingual,de,Ich nutze einen Rollstuhl und brauche einfache Sprache.,"[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
lexicon_only,zh_deaf_simple_text,multilingual,zh,我听不清广播，也需要简明语言。,"[""deaf_or_hard_of_hearing"", ""needs_simple_language""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language""]",3,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
hybrid_mock,blind_persona,scripted_persona,en,I am blind and I use a screen reader.,"[""blind_or_low_vision""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
hybrid_mock,deaf_sign_persona,scripted_persona,en,I am deaf and I use sign language.,"[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
hybrid_mock,wheelchair_persona,scripted_persona,en,I use a wheelchair and need step free routes.,"[""needs_step_free_route"", ""wheelchair_user""]","[""needs_step_free_route"", ""wheelchair_user""]","[""needs_step_free_route"", ""wheelchair_user""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
hybrid_mock,memory_child_persona,scripted_persona,en,Please use simple english and short steps.,"[""needs_memory_support"", ""needs_simple_language""]","[""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language""]",2,,2,0,0,1.0,1.0,1.0,True,1,0,1,1.0,0.5,0.667,False
hybrid_mock,mixed_needs_persona,scripted_persona,en,I am hard of hearing and also use a wheelchair.,"[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",4,,5,0,0,1.0,1.0,1.0,True,3,0,2,1.0,0.6,0.75,False
hybrid_mock,free_form_multi_needs_persona,scripted_persona,en,"yes I have eye problem, also I walk badly, and I can't read complex text","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]",3,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
hybrid_mock,colloquial_vision_landmarks,colloquial,en,"My eyesight is bad, so I rely on landmarks and spoken directions.","[""blind_or_low_vision""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
hybrid_mock,colloquial_steps_lifts,colloquial,en,I cannot cope with steps; ramps or lifts are safer for me.,"[""needs_step_free_route""]","[""needs_step_free_route""]","[""needs_step_free_route""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
hybrid_mock,colloquial_audio_announcements,colloquial,en,I read lips and often miss announcements in noisy stations.,"[""deaf_or_hard_of_hearing""]","[""deaf_or_hard_of_hearing""]","[""deaf_or_hard_of_hearing""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
hybrid_mock,colloquial_signing_preference,colloquial,en,I prefer signing to written instructions when that is available.,"[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
hybrid_mock,colloquial_dense_instructions,colloquial,en,Keep directions in small chunks; long paragraphs make me lose track.,"[""needs_memory_support"", ""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language""]",1,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
hybrid_mock,multi_limited_vision_stairs_reminders,multi_domain,en,"My vision is limited, stairs are difficult, and I need short reminders.","[""blind_or_low_vision"", ""needs_memory_support"", ""needs_step_free_route""]","[""needs_memory_support""]","[""needs_memory_support""]",1,,1,0,2,1.0,0.333,0.5,False,1,0,2,1.0,0.333,0.5,False
hybrid_mock,multi_signing_audio_ramps,multi_domain,en,"I rely on signing, miss audio announcements, and need ramps.","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""sign_language_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
hybrid_mock,multi_bad_knees_eyes_text,multi_domain,en,"Bad knees, poor eyesight, and long instructions are hard for me.","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_step_free_route""]","[""blind_or_low_vision"", ""needs_step_free_route""]",2,,2,0,1,1.0,0.667,0.8,False,2,0,1,1.0,0.667,0.8,False
hybrid_mock,multi_wheelchair_long_text,multi_domain,en,"I use a wheelchair and need step-free routes. I also have trouble reading long texts, so please keep instructions short.","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
hybrid_mock,multi_wheelchair_audio_memory,multi_domain,en,"I use a wheelchair, cannot hear announcements, and forget complex directions.","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,1,1.0,0.75,0.857,False,3,0,1,1.0,0.75,0.857,False
hybrid_mock,zh_vision_stairs_simple,multilingual,zh,我看不清，也不想走楼梯，请用简单一点的话。,"[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,2,1.0,0.333,0.5,False,1,0,2,1.0,0.333,0.5,False
hybrid_mock,zh_wheelchair_hearing,multilingual,zh,我坐轮椅，听不见广播。,"[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
hybrid_mock,de_vision_stairs,multilingual,de,Ich sehe schlecht und Treppen sind schwierig.,"[""blind_or_low_vision"", ""needs_step_free_route""]","[""blind_or_low_vision""]","[""blind_or_low_vision""]",1,,1,0,1,1.0,0.5,0.667,False,1,0,1,1.0,0.5,0.667,False
hybrid_mock,de_sign_simple,multilingual,de,Ich nutze Gebaerdensprache und brauche kurze einfache Hinweise.,"[""deaf_or_hard_of_hearing"", ""needs_simple_language"", ""sign_language_user""]",[],"[""needs_simple_language""]",3,,1,0,2,1.0,0.333,0.5,False,0,0,3,0.0,0.0,0.0,False
hybrid_mock,contrastive_sign_language_learning,contrastive,en,"I am learning sign language, but I hear fine; I only need simple English.","[""needs_simple_language""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language"", ""sign_language_user""]",2,,1,2,0,0.333,1.0,0.5,False,1,2,0,0.333,1.0,0.5,False
hybrid_mock,contrastive_caregiver_wheelchair,contrastive,en,"I push a wheelchair for my parent, but I personally only need short reminders.","[""needs_memory_support""]","[""needs_memory_support"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_memory_support"", ""needs_step_free_route"", ""wheelchair_user""]",1,,1,2,0,0.333,1.0,0.5,False,1,2,0,0.333,1.0,0.5,False
hybrid_mock,contrastive_phone_audio_knee,contrastive,en,"My phone cannot hear announcements, but I need ramps because of knee pain.","[""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_step_free_route""]",3,,1,1,0,0.5,1.0,0.667,False,1,1,0,0.5,1.0,0.667,False
hybrid_mock,contrastive_not_blind_stepfree,contrastive,en,"I am not blind, but I need step-free routes.","[""needs_step_free_route""]","[""needs_step_free_route""]","[""needs_step_free_route""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
hybrid_mock,contrastive_long_paragraphs,contrastive,en,"Please avoid long paragraphs, but no memory issues.","[""needs_simple_language""]","[""needs_simple_language""]","[""needs_simple_language""]",1,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
hybrid_mock,contrastive_device_no_maps,contrastive,en,"My phone cannot handle complex map views, but I navigate well on foot.",[],[],[],2,,0,0,0,1.0,1.0,1.0,True,0,0,0,1.0,1.0,1.0,True
hybrid_mock,contrastive_caregiver_wheelchair_parent,contrastive,en,I push my father's wheelchair at weekends; I only need simple English reminders for myself.,"[""needs_memory_support"", ""needs_simple_language""]","[""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_memory_support"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",1,,2,2,0,0.5,1.0,0.667,False,2,2,0,0.5,1.0,0.667,False
hybrid_mock,contrastive_learning_braille_stepfree,contrastive,en,I study Braille for professional training; I can see fine and just need a step-free route.,"[""needs_step_free_route""]","[""needs_step_free_route""]","[""needs_step_free_route""]",2,,1,0,0,1.0,1.0,1.0,True,1,0,0,1.0,1.0,1.0,True
hybrid_mock,multi_hearing_memory_stairs,multi_domain,en,"I have hearing loss, I forget directions easily, and I cannot climb stairs.","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route""]","[""deaf_or_hard_of_hearing"", ""needs_memory_support"", ""needs_step_free_route""]",3,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
hybrid_mock,multi_low_vision_sign_prefer,multi_domain,en,My vision is limited and I prefer signing to written text.,"[""blind_or_low_vision"", ""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]","[""deaf_or_hard_of_hearing"", ""sign_language_user""]",1,,2,0,1,1.0,0.667,0.8,False,2,0,1,1.0,0.667,0.8,False
hybrid_mock,multi_wheelchair_poor_eyesight_simple,multi_domain,en,"I use a wheelchair, have poor eyesight, and need simple language.","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""blind_or_low_vision"", ""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",2,,4,0,0,1.0,1.0,1.0,True,4,0,0,1.0,1.0,1.0,True
hybrid_mock,de_wheelchair_simple_language,multilingual,de,Ich nutze einen Rollstuhl und brauche einfache Sprache.,"[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]","[""needs_simple_language"", ""needs_step_free_route"", ""wheelchair_user""]",2,,3,0,0,1.0,1.0,1.0,True,3,0,0,1.0,1.0,1.0,True
hybrid_mock,zh_deaf_simple_text,multilingual,zh,我听不清广播，也需要简明语言。,"[""deaf_or_hard_of_hearing"", ""needs_simple_language""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language""]","[""deaf_or_hard_of_hearing"", ""needs_simple_language""]",3,,2,0,0,1.0,1.0,1.0,True,2,0,0,1.0,1.0,1.0,True
